KodProduktu;Prognoza_M1;Prognoza_M2;Prognoza_M3
'0479.04;0;0;0
'0479.07;0,01;0,12;0,04
'0482;0,01;0,01;0,12
'0482.01;0;0;0
'0483;1,31;1,31;0,01
'0483.01;0;0;0
'0483.02;2,74;2,82;1,01
'0483.03;0,46;16,49;13,33
'0483.04;3,91;0,61;1,72
'0484;0;0;46,04
'0484.01;7,36;17,91;50,95
'0484.02;4,53;4,6;4,6
'0485;17,8;14,1;15,95
'0487;0;0;0
'0488;9,77;69,76;75,5
'0488.03;5,36;7,96;9,0
'0488.06;0;0;0
'0488.09;15,7;67,28;164,14
'0488.12;0;0;0
'0491;6,26;0;5,32
'0491.02;0;0;0
'0494;0;0;1,06
'0494.02;48,29;63,94;63,73
'0494.04;0;0;0
'0494.07;2,85;2,81;1,04
'0494.12;0,5;83,46;59,94
'0495;67,31;66,11;151,58
'0496;0;0;0
'0496.04;0;0;0
'0497;0;0;0
'0498.03;0;0;0
'0498.04;0;0;0
'0501;0;0;6,22
'0502;0;0;0
'0502.02;0;0;0
'0503;11,34;10,7;14,72
'0503.00.03;0;0;0
'0503.01;0;0;0
'0503.02;0,7;4,11;5,82
'0503.03;0;0;0
'0503.05;0;0;0
'0504;180,63;276,15;239,33
'0506;27,33;28,09;28,91
'0506.01;16,79;22,41;21,21
'0517;0;0;0
'0518.01;5,18;5,18;5,15
'0518.03;8,61;8,57;8,66
'0521;76,53;132,64;151,24
'0525;0;0;0,7
'0525.02;0;0;0
'0526;0;0;0
'0527;6,79;12,65;21,69
'0527.01;0;0;0
'0531;8,24;8,73;11,29
'0531.01;0,79;0,49;0,96
'0531.03;0;0;0
'0531.04;0;0;0
'0531.05;0;0;0
'0531.08;0;0;0
'0532;0;0;0
'0535;7,97;0;0,42
'0535.01;0,01;0;9,88
'0543;0;0;0,01
'0544;0;0;0
'0544.02;36,83;76,94;77,57
'0544.07;0;0;0
'0544.09;0;0;0
'0546;0;0;0
'0546.01;0;0;0
'0546.03;0;0;0
'0546.04;0;0;0
'0546.06;0,12;0,12;0,12
'0547.02;0;0;0
'0549;2089,95;1794,17;1943,73
'0549.01;0;0;0
'0549.03;0,41;0,5;5,11
'0549.05;63,95;102,8;81,97
'0549.06;0;0;0
'0549.07;4,6;4,6;4,6
'0552;18,79;15,94;39,25
'0552.01;0;0;0
'0553;5,54;6,26;7,33
'0554;1033,75;1298,68;1301,29
'0554.02;0;0;0
'0557;4,6;4,6;4,6
'0559;0,01;0,12;1,07
'0559.02;0;0;0
'0561;0;0;0
'0562;4,6;4,6;7,02
'0564;0;0;0
'0572;1,53;0;3,87
'0576;0;0;0
'0586.01;1,61;1,61;1,09
'0588;93,6;107,99;87,26
'0591;0;0;0
'0592.01;7,05;12,81;10,82
'0593;0,5;0,4;0,5
'0593.01;1,34;2,53;2,81
'0597;49,31;35,19;41,04
'0597.02;0;0;0
'0597.04;0;0;0
'0597.07;0;0;0
'0597.08;2,17;75,46;39,19
'0597.15;0,01;0,01;0,04
