KodProduktu;Prognoza_M1;Prognoza_M2;Prognoza_M3
'3674.01;0;0;0
'3674.02;0;0;0
'3675;0;0;0
'3675.01;0;0;0
'3675.04;0;0;0
'3675.06;0;0;0
'3675.07;0;0;0
'3675.08;0;0;0
'3675.09;0;0;0
'3675.11;0;0;0
'3675.13;0;0;0
'3675.14;0;0;0
'3675.15;0;0;0
'3675.16;0;0;0
'3675.17;0;0;0
'3675.18;0;0;0
'3676.02;0;0;0
'3680.04;0;0;0
'3680.041;0;0;0
'3680.042;0;0;0
'3680.05;0;0;0
'3680.051;0;0;0
'3680.07;0;0;0
'3680.08;0;0;0
'3680.11;0;0;0
'3680.111;0;0;0
'3680.12;0;0;0
'3680.14;0;0;0
'3680.15;0,01;0,12;0,12
'3685.01X;0;0;0
'3694;0;0;0
'3694.03;0;0;0
'3694.04;0;0;0
'3694.041;0;0;0
'3694.05;0;0;0
'3695.01;0;0;0
'3697;0;0;0
'3697.01;0;0;0
'3703;0;0;0
'3705;0;0;0
'3706;0;0;0
'3706.01;0;0;0
'3706.02;0;0;0
'3706.04;0;0;0
'3708;0;0;0
'3708.01;0;0;0
'3708.02;0;0;0
'3711.01;0;0;0
'3712;2,6;0;58,03
'3712.01;0;0;0
'3712.02;0;0;0
'3712.022;0;0;0
'3712.032;0;0;0
'3712.06;0;0;0
'3712.07;0;0;0
'3715;0;0;0
'3715.04;0;0;0
'3715.05;0;0;0
'3715.06;0;0;0
'3715.07;0;0;0
'3716;0;0;0
'3716.04;0;0;0
'3716.05;0;0;0
'3716.051;0;0;0
'3716.06;0;0;0
'3716.061;0;0;0
'3716.07;0;0;0
'3716.071;0;0;0
'3716.073;0;0;0
'3716.074;0;0;0
'3716.075;0;0;0
'3716.076;0;0;0
'3716.077;0;0;0
'3716.08;0;0;0
'3716.09;0;0;0
'3716.11;0;0;0
'3716.12;0;0;0
'3716.13;0;0;0
'3716.14;0;0;0
'3716.15;0;0;0
'3716.16;0;0;0
'3716.17;0;0;0
'3716.18;0;0;0
'3716.19;0,01;0,12;0,12
'3717;0;0;0
'3717.01;0;0;0
'3721;50,55;49,27;61,12
'3721.01;0;0;0
'3721.011;79,97;110,14;133,11
'3721.02;189,71;177,86;311,17
'3721.021;0;0;0
'3721.02-S;0;0;0
'3721.03;0;0;0
'3721.041;0;0;0
'3721.042;0;0;0
'3721.043;0;0;0
'3721.044;0;0;0
'3721.045;0;0;0
'3721.046;0;0;0
'3721.047;0;0;0
'3721.048;472,97;473,45;380,35
'3721.05;0;0;0
'3721.051;0;0;0
'3721.06;0;0;0
'3721.062;0;0;0
'3721.063;0;0;0
'3721.064;506,08;303,8;346,26
'3721.066;0;0;0
'3721.07;0;0;0
'3721.08;0;0;0
'3721.081;0;0;0
'3721.082;0;0;0
'3721.083;101,32;71,01;78,98
'3721.09;0;0;0
'3721.10;0;0;0
'3721.111;242,58;210,83;169,87
'3721.112;0;0;0
'3721.12;0;0;0
'3721.121;0;0;0
'3721.13;0;0;0
'3721.14;0;0;0
'3721.15;0;0;0
'3721.151;0;0;0
'3721.152;0;0;0
'3721.17;0;0;0
'3721.172;0;0;0
'3721.173;0;0;0
'3721.174;0;0;0
'3721.175;0;0;0
'3721.18;0;0;0
'3721.19;0;0;0
'3721.20;0;0;0
'3721.201;0;0;0
'3721.202;0;0;0
'3721.202X;0;0;0
'3721.203;0;0;0
'3721.21;0;0;0
'3721.22;0;0;0
'3721.23;0;0;0
'3721.24;65,4;61,0;53,47
'3721.25;0;0;0
'3721.26;0;0;0
'3721.30;35,77;37,77;83,85
'3721.31;0;0;0
'3721.32;0;0;0
'3721.33;0;0;0
'3721.34;0;0;0
'3721.35;0;0;0
'3721.36;0;0;0
'3721.37;0;0;0
'3721.38;0;0;0
'3721.39;0;0;0
'3721.40;0;0;0
'3721.41;28,33;27,49;0
'3721.42;0;0,01;0
'3721.43;0;0;0
'3721.44;0;0;0
'3721.45;0,01;0,12;0,12
'3722.03;0;0;0
'3727;0;0;0
'3727.02;0;0;0
'3727.03;0;0;0
'3729;0;0;0
'3729.01;0;0;0
'3729.011;45,05;101,25;131,07
'3729.012;0;0;0
'3729.013;0;0;0
'3729.0133;0;0;0
'3729.014;0;0;0
'3729.015;0;0;0
'3729.016;0;0;0
'3729.02;0;0;0
'3729.03;0;0;0
'3729.04;0;0;0
'3730.01;0;0;0
'3731;0;0;0
'3732;0;0;0
'3733;0;0;0
'3734;0;0;0
'3736;0;0;0
'3736.01;0;0;0
'3736.02;0,83;0,7;0
'3738;0;0;0
'3742.01;0;0;0
'3742.03;0;0;0
'3742.04;0;0;0
'3742.05;0;0;0
'3742.051;0;0;0
'3742.07;0;0;0
'3742.08;0;0;0
'3743;0;0;0
'3743.03;0;0;0
'3743.04;0;0;0
'3743.05;0;0;0
'3743.06;0,68;0,7;0,7
'3746.02;0;0;0
'3746.04;0;0;0
'3748.543;0;0;0
'3748.998;0;0;0
'3750.03;0;0;0
'3750.05;0;0;0
'3752;0;0;0
'3753;0;0;0
'3754;0;0;0
'3754.01;0;0;0
'3757;33,6;34,52;44,97
'3757.01;0;0;0
'3761;0;0;0
'3761.03;0;0;0
'3761.04;0;0;0
'3761.05;0;0;0
'3761.06;0;0;0
'3761.07;0;0;0
'3761.08;0;0;0
'3761.081;0;0;0
'3761.09;0;0;0
'3761.091;0;0;0
'3761.093;0;0;0
'3761.094;0;0;0
'3761.095;0;0;0
'3761.096;0;0;0
'3761.097;0;0;0
'3761.098;0;0;0
'3761.12;0;0;0
'3761.13;0;0;0
'3761.14;0;0;0
'3761.15;0;0;0
'3761.16;0;0;0
'3761.17;0;0;0
'3766;0;0;0
'3766.01;0;0;0
'3766.03;3,04;41,06;136,91
'3771.021;0;0;0
'3771.022;0;0;0
'3771.023;0;0;0
'3771.024;0;0;0
'3771.031;0;0;0
'3771.05;0;0;0
'3771.051;0;0;0
'3771.052;0;0;0
'3771.053;0;0;0
'3771.054;0;0;0
'3771.055;0;0;0
'3771.056;0;0;0
'3771.057;0;0;0
'3771.06;0;0;0
'3771.061;0;0;0
'3771.062;0;0;0
'3771.063;0;0;0
'3771.064;0;0;0
'3771.065;0;0;0
'3771.066;0;0;0
'3771.07;0;0;0
'3771.073;0;0;0
'3771.09;0;0;0
'3771.091;0;0;0
'3771.10;0;0;0
'3771.101;0;0;0
'3771.11;0;0;0
'3771.12;0;0;0
'3771.13;0;0;0
'3771.14;0;0;0
'3771.141;0;0;0
'3771.142;0;0;0
'3771.143;0;0;0
'3771.144;0;0;0
'3771.145;0;0;0
'3771.15;0;0;0
'3771.151;0;0;0
'3771.16;0;0;0
'3771.17;0;0;0
'3773;0;0;0
'3773.02;0;0;0
'3774;0;0;0
'3779;0;0;0
'3779.01;0;0;0
'3779.04;0;0;0
'3779.05;0;0;0
'3779.06;0;0;0
'3779.07;0;0;0
'3779.08;0;0;0
'3784;0;0;0
'3784.02;0;0;0
'3787.01;0;0;0
'3787.02;0;0;0
'3787.06;0;0;0
'3787.07;0;0;0
'3787.08;0;0;0
'3787.09;0;0;0
'3787.10;0;0;0
'3787.11;0;0;0
'3787.12;0;0;0
'3787.13;0;0;0
'3787.14;0;0;0
'3787.15;0;0;0
'3787.16;0;0;0
'3787.17;0;0;0
'3787.18;0;0;0
'3787.19;0;0;0
'3787.20;0;0;0
'3787.21;0;0;0
'3787.23;0;0;0
'3787.24;0;0;0
'3787.25;0;0;0
'3789;0;0;0
'3789.03;0;0;0
'3789.031;10,32;0;75,32
'3789.04;0;0;0
'3789.041;0;0,01;0
'3793;0;0;0
'3797;0;0;0
'3798;0;0;0
'3799;0;0;0
'3800.191;0;0;0
'3800.192;0;0;0
'3800.193;0;0;0
'3800.194;0;0;0
'3800.195;0;0;0
'3800.196;0;0;0
'3800.197;0;0;0
'3800.523;0;0;0
'3800.593;0;0;0
'3803;0;0;0
'3803.01;0;0;0
'3803.02;0;0;0
'3803.03;0;0;0
'3803.04;0;0;0
'3805.01;0;0;0
'3805.02;0;0;0
'3806;0;0;0
'3807;0;0;0
'3809.01;0;0;0
'3811.06;0;0;0
'3811.061;0;0;0
'3811.063;0;0;0
'3811.067;0;0;0
'3812;0;0;0
'3812.01;0;0;0
'3813.02;0;0;0
'3813.022;0;0;0
'3813.023;6344,61;7409,02;6866,21
'3813.024;0;0;0
'3813.025;0;0;0
'3813.026;0;0;0
'3813.03;0;0;0
'3813.04;0;0;0
'3813.05;0;0;0
'3813.06;0;0;0
'3814;0;0;0
'3814.02;0;0;0
'3814.031;0;0;0
'3814.04;0;0;0
'3814.05;0;0;0
'3814.06;0;0;0
'3814.07;0;0;0
'3814.08;0;0;0
'3814.09;0;0;0
'3814.10;0;0;0
'3814.11;0;0;0
'3814.12;0;0;0
'3814.13;0;0;0
'3815;0;0;0
'3816.02;0;0;0
'3816.03;0;0;0
'3816.04;0;0;0
'3816.05;0;0;0
'3819;0;0;0
'3819.01;0;0;0
'3819.02;0;0;0
'3819.03;0;0;0
'3819.04;0;0;0
'3819.05;0;0;0
'3819.05A;0;0;0
'3819.06;0;0;0
'3819.07;0,01;0,12;0,12
'3821;0;0;0
'3821.01;0;0;0
'3821.011;0;0;0
'3821.03;0;0;0
'3824;0;0;0
'3824.02;0;143,53;178,87
'3826;0;0;0
'3826.01;0;0;0
'3829.02;0;0;0
'3830;0;0;0
'3831;0;0;0
'3831.05;0;0;0
'3831.06;0;0;0
'3831.08;0;0;0
'3831.10;0;0;0
'3831.11;0;0;0
'3831.13;0;0;0
'3831.14;0;0;0
'3832;0;0;0
'3832.01;0;0;0
'3832.04;0;0;0
'3832.05;0;0;0
'3832.06;0;0;0
'3833;0;0;0
'3834;0;0;0
'3834.03;0;0;0
'3838;0;0;0
'3839.01;0;0;0
'3839.02;0;0;0
'3840;0;0;0
'3841;0;0;0
'3841.01;0;0;0
'3842;0;0;0
'3842.01;0;0;0
'3842.02;0;0;0
'3846;0;0;0
'3847.01;0;0;0
'3847.02;0;0;0
'3847.03;0;0;0
'3847.04;0;0;0
'3847.042;0;0;0
'3847.044;0;0;0
'3847.045;0;0;0
'3847.05;0;0;0
'3847.06;0;0;0
'3847.07;0;0;0
'3847.09;0;0;0
'3847.11;0;0;0
'3848;0;0;0
'3849.01;0;0;0
'3850;0;0;0
'3851;0;0;0
'3852.07;0;0;0
'3852.071;0;0;0
'3852.08;0;0;0
'3852.081;0;0;0
'3852.10;0;0;0
'3852.11;0;0;0
'3852.14;0;0;0
'3852.15;0;0;0
'3852.16;0;0;0
'3852.18;0;0;0
'3852.19;0;0;0
'3852.20;0;0;0
'3852.21;0;0;0
'3852.22;0;0;0
'3852.23;0;0;0
'3852.24;0;0;0
'3852.25;0;0;0
'3852.26;0;0;0
'3852.27;0;0;0
'3853;0;0;0
'3861;0;0;0
'3861.01;0;0;0
'3861.02;0;0;0
'3861.021;0;0;0
'3861.03;0;0;0
'3864;0;0;0
'3864.01;0,5;0,5;21,12
'3864.02;0;0;0
'3865;0;0;0
'3865.01;0;0;0
'3865.02;0;0;0
'3865.03;0;6,31;7,65
'3865.04;0;6,31;7,65
'3865.05;0;0;0
'3866;0;0;0
'3868;0;0;0
'3868.01;0;0;0
'3869;0;0;0
'3870.01;0;0;0
'3871.253;0;0;0
'3871.495;0;0;0
'3882.01;0;0;0
'3887;0;0;0
'3889;0;0;0
'3889.01;0;0;0
'3889.02;0;0;0
'3893;0;0;0
'3896.01;0;0;0
'3896.02;0;0;0
'3896.03;0;0;0
'3896.04;0,01;0;0,01
'3897;0;0;0
'3900;229,13;233,6;242,5
'3902;0;0;0
'3902.01;0;0;0
'3902.011;0;0;0
'3902.012;0;0;0
'3902.02;0,01;0,12;0,12
'3902.03;26,44;42,62;36,47
'3902.031;0;0;0,01
'3902.032;0;0;0
'3902.04;0;0;0
'3902.041;0;0;0
'3902.05;0,01;0,12;0,12
'3902.051;0;0;0
'3902.06;0;0;0
'3902.07;0;0;0
'3902.071;0;0;0
'3902.072;0;0;0
'3903;0;0;0
'3903.02;0;0;0
'3903.03;0;0;0
'3903.031;0;0;0
'3903.032;0;0;0
'3903.033;0;0;0
'3903.034;0;0;0
'3903.035;0;0;0
'3904.371;0;0;0
'3904.945;0;0;0
'3905;0;0;0
'3906;0;0;0
'3906.01;0;0;0
'3912;0;0;0
'3912.SKLEP;0;0;0
'3915;0;0;0
'3921.03;0;0;0
'3922;0;0;0
'3922.01;0;0;0
'3922.02;0;0;0
'3922.03;0;0;0
'3927;0;0;5,98
'3927.01;0,01;0;0
'3927.02;0;0;0
'3927.03;0;0;0
'3928;17,58;16,42;1,67
'3928.011;0;20,32;18,52
'3928.021;0;0;0
'3928.03;0;0;0
'3928.06;0;0;0
'3928.061;0;0;0
'3945;0;0;0
'3945.01;0;0;0
'3945.018;0;0;0
'3945.019;0;0;0
'3945.02;0;0;0
'3945.03;0;0;0
'3945.031;0;0;0
'3945.04;0;0;0
'3945.05;0;0;0
'3945.051;0;0;0
'3945.052;0;0;0
'3945.053;0;0;0
'3945.054;0;0;0
'3945.06;0;0;0
'3945.07;0;0;0
'3945.071;0;0;0
'3945.072;0;0;0
'3945.08;0;0;0
'3945.09;0;0;0
'3945.10;0;0;0
'3945.13;0;0;0
'3945.14;0;0;0
'3945.141;0;0;0
'3945.15;0;0;0
'3945.16;0;0;0
'3945.17;0;0;0
'3945.18;0;0;0
'3945.19;0;0;0
'3945.20;0;0;0
'3945.21;0;0;0
'3945.22;0;0;0
'3945.23;0;0;0
'3945.24;0;0;0
'3945.25;0;0;0
'3945.26;0;0;0
'3945.261;0;0;0
'3945.27;0;0;0
'3945.28;0;0;0
'3945.29;0;0;0
'3945.30;0;0;0
'3946;0;0;0
'3946.01;0;0;0
'3947;0;0;0
'3947.01;0;0;0
'3947.02;0;0;0
'3947.03;0;0;0
'3947.04;0;0;0
'3947.05;0;0;0
'3947.06;0;0;0
'3949;0;0;0
'3951;0;0;0
'3951.01;0;0;0
'3951.02;0;0;0
'3951.03;0;0;0
'3952.314;0;0;0
'3952.315;0;0;0
'3952.363;0;0;0
'3952.443;0;0;0
'3952.444;0;0;0
'3952.445;0;0;0
'3952.595;0;0;0
'3952.784;0;0;0
'3952.802;0;0;0
'3952.992 W;0;0;0
'3953;0;0;0
'3953.01;0;0;0
'3956;0;0;0
'3957;0;0;0
'3959;0;0;0
'3959.011;0;0;0
'3960;0;0;0
'3960.01;0;0;0
'3961;3,07;0;178,82
'3961.01;0;0;0
'3961.02;0;0;0
'3961.021;0;0;0
'3961.03;0;0;0
'3961.04;0,01;0,12;0,04
'3961.05;0;0;0
'3961.051;0;0;0
'3961.052;48,62;47,56;36,69
'3961.06;0;0;0
'3961.07;0;0;0
'3961.08;0;0;0
'3961.081;0;0;0
'3961.082;0;0;0
'3961.09;0;0;0
'3961.10;0;0;0
'3961-S;0;0;0
'3966.01;0;0;0
'3966.02;0;0;0
'3966.03;0;0;0
'3966.04;0;0;0
'3968.01;0;0;0
'3968.04;0,01;0,12;0,12
'3968.05;0,01;0,12;0,12
'3969.01;0;0;0
'3970;0;0;0
'3970.01;0;0;0
'3970.011;0;0;0
'3970.012;0;0;0
'3970.03;0;0;0
'3970.031;0;0;0
'3970.04;0;0;0
'3970.041;0;0;0
'3970.05;0;0;0
'3970.051;0;0;0
'3970.06;0;0;0
'3970.061;0;0;0
'3970.07;0;0;0
'3970.071;0;0;0
'3970.08;0;0;0
'3970.081;0;0;0
'3970.09;0;0;0
'3970.10;0;0;0
'3971.01;0;0;0
'3974;0;0;0
'3974.01;0;0;0
'3975;0;0;0
'3975.01;0;0;0
'3975.02;0;0;0
'3976;0;0;0
'3978.02;0;0;0
'3979;40,9;31,52;33,98
'3979.02;0;0;0
'3979.03;0;0;0
'3979.04;19,51;19,3;19,51
'3979.06;0;0,01;0
'3979.061;0,01;0,12;0
'3979.07;0;0;0
'3979.071;0;0;0
'3979.072;0;0;0
'3979.08;112,54;113,19;113,69
'3979.081;99,07;95,71;96,97
'3982;0;0;0
'3982.01;0;0;0
'3983;0;0;0
'3983.01;0;0;0
'3984;0;0;0
'3984.01;0;0;0
'3985;0;0;0
'3988;0;0;0
'3990;0;0;0
'3990.02;0;0;0
'3990.02X;0;0;0
'3991;0;0;0
'3992.032;0;0;0
'3992.161;0;20,02;0
'3992.252;0;0;0
'3992.311;0;0;0
'3992.60;0;0;0
'3992.881;0;0;0
'3993;115,61;98,34;126,72
'3994;0;0;0
'3994.01;0;0;0
'3994.02;0;0;0
'3995.01;0;0;0
'3995.011;0;0;0
'3998;0;0;0
'3A02;0;0;0
'3A02.01;0;0;0
'3A02.02;0;0;0
'3A02.021;0;0;0
'3A02.022;0;0;0
'3A02.03;0;0;0
'3A02.031;0;0;0
'3A02.04;0;0;0
'3A02.041;0;0;0
'3A02.042;0;0;0
'3A02.043;0;0;0
'3A02.044;0;0;0
'3A02.045;0;0;0
'3A02.05;0;0;0
'3A02.06;0;0;0
'3A02.07;0;0;0
'3A02.08;0;0;0
'3A02.081;0;0;0
'3A02.082;0;0;0
'3A02.083;0;0;0
'3A02.084;0;0;0
'3A02.085;0;0;0
'3A02.086;0;0;0
'3A02.087;0;0;0
'3A02.088;0;0;0
'3A02.089;0;0;0
'3A02.09;0;0;0
'3A02.091;0;0;0
'3A02.092;18,39;18,29;18,57
'3A02.093;0;0;0
'3A02.10;0;0;0
'3A02.11;0;0;0
'3A02.12;0;0;0
'3A02.13;0;0;0
'3A02.14;0;0;0
'3A02.15;0;0;0
'3A02.16;0;0;0
'3A02.17;0;0;0
'3A02.18;0;0;0
'3A02.19;0;0;0
'3A02.20;0;0;0
'3A02.21;0;0;0
'3A02.22;0;0;0
'3A02.23;18,39;18,29;18,57
'3A02.24;0;0;0
'3A02.25;0,68;0,7;0,7
'3A02.26;0;0;0
'3A02.27;0;0;0
'3A02.28;0;0;0
'3A02.29;0;0;0
'3A02.30;0;0;0
'3A02.31;0;0;0
'3A02.32;0;0;0
'3A02.33;0;0;0
'3A02.34;0;0;0
'3A02.35;0;0;0
'3A02.36;0;0;0
'3A02.37;17,82;18,51;63,8
'3A02.38;0;0;0
'3A02.39;0;0;0
'3A02.40;0;0;0
'3A02.41;32,48;46,52;44,12
'3A02.42;18,39;18,29;18,57
'3A02.43;47,47;47,92;48,46
'3A02.44;29,42;29,33;30,14
'3A02.45;0,01;0,12;0,12
'3A02.46;21,48;19,59;19,86
'3A02.48;18,39;18,29;18,57
'3A02.49;18,39;18,29;18,57
'3A02.50;29,42;29,33;30,14
'3A04;0;0;0
'3A05;0;0;0
'3A05.01;0;0;0
'3A05.02;0;0;0
'3A05.03;0;0;0
'3A05.04;0;0;0
'3A05.05;0;0;0
'3A05.07;0;0;0
'3A05.08;0;0;0
'3A05.081;0;0,01;0,12
'3A05.09;29,46;29,61;30,17
'3A05.10;0;0;0
'3A05.12;48,5;47,92;48,46
'3A07;0;0;0
'3A07.01;0;0;0
'3A07.02;0;0;0
'3A07.03;0;0;0
'3A08.02;0;0;0
'3A08.04;0;0;0
'3A08.05;0;0;0
'3A10;0;0;0
'3A10.01;0;0;0
'3A10.02;0;0;0
'3A10.03;0;0;0
'3A10.04;0;0;0
'3A10.05;0;0;0
'3A12;0;0;0
'3A12.01;0;0;0
'3A13;0;0;0
'3A13.01;0;0;0
'3A14;0;0;0
'3A14.01;0;0;0
'3A16;0;0;0
'3A16.01;0;0;0
'3A17;0;0;0
'3A17.01;0;0;0
'3A17.02;0;0;0
'3A17.03;0;0;0
'3A17.04;0;0;0
'3A17.05;0;0;0
'3A19;0;0;0
'3A19.01;0;0;0
'3A20;0;0;0
'3A21;0;0;0
'3A21.01;0;0;0
'3A21.02;0;0;0
'3A22;0;0;0
'3A22.01;0;0;0
'3A23;0;0;0
'3A23.01;0;0;0
'3A23.03;0;0;0
'3A23.04;0;0;0
'3A23.05;0;0;0
'3A23.06;0;0;0
'3A24;0;0;0
'3A25;0;0;0
'3A25.01;0;0;0
'3A25.02;0;0;0
'3A25.03;0;0;0
'3A25.04;0;0;0
'3A25.05;0;0;0
'3A26;0;0;0
'3A27;0;0;0
'3A28;0;0;0
'3A28.02;0,01;0,12;0,12
'3A30.01;0;0;0
'3A30.02;0;0;0
'3A30.031;0;0;0
'3A30.032;0;0;0
'3A30.04;0;0;0
'3A30.06;0;0;0
'3A32.01;0;0;0
'3A32.03;0;0;0
'3A32.031;0;0;0
'3A33;0;0;0
'3A33.01;0;0;0
'3A33.02;0;0;0
'3A33.021;0;0;0
'3A36;0;0;0
'3A36.01;0;0;0
'3A36.011;0;0;0
'3A36.012;0;0;0
'3A36.014;18,39;18,29;18,57
'3A36.015;18,84;18,29;18,57
'3A36.04;44,87;44,18;44,72
'3A36.041;19,91;19,42;19,86
'3A36.05;0;0;0
'3A36.051;0;0;0
'3A36.06;0;0;0
'3A36.07;0,01;0,12;0,12
'3A36.08;0;0;0
'3A36.09;0;0,01;0,12
'3A36.10;0,01;0,12;0,12
'3A37;0;0;0
'3A39;0;0;0
'3A40.321;0;0;0
'3A40.574;0;0;0
'3A40.575;0;0;0
'3A40.576;0;0;0
'3A40.577;0;0;0
'3A40.58;0;0;0
'3A40.59;0;0;0
'3A40.591;0;0;0
'3A40.592;0;0;0
'3A40.594;0;0;0
'3A40.595;0;0;0
'3A40.99;0;0;0
'3A41;0;0;0
'3A41.01;0;0;0
'3A41.02;0;0;0
'3A41.03;0;0;0
'3A41.04;0;0;0
'3A42;0;0;0
'3A42.01;0;0;0
'3A43;0;0;0
'3A44;0;0;0
'3A44.01;0;0;0
'3A52;0;0;0
'3A53;0;0;0
'3A53.01;0;0;0
'3A54;0;0;0
'3A55;9,94;0;27,34
'3A55.01;68,83;61,94;138,59
'3A55.02;0;0;0
'3A55.03;74,97;137,5;156,82
'3A56;0;0;0
'3A56.01;0;0;0
'3A56.02;0;0;0
'3A56.03;0;0;0
'3A57;0;0;0
'3A57.01;0;0;0
'3A57.02;0;0;0
'3A57.03;0;0;0
'3A57.04;0;0;0
'3A57.05;0;0;0
'3A57.06;0;0;0
'3A57.07;48,82;68,74;65,32
'3A57.08;0;0;0
'3A57.09;0;0;0
'3A57.10;0;0;0
'3A57.11;48,82;47,92;48,46
'3A58;0;0;0
'3A58.01;0;0;0
'3A59;0;0;0
'3A59.02;0;0;0
'3A59.03;0;0;0
'3A60;0;0;0
'3A60.02;0;0;0
'3A60.03;0;0;0
'3A60.04;0;0;0
'3A60.05;0;0;0
'3A61;0;0;0
'3A64;0;0;0
'3A64.01;0;0;0
'3A64.02;0;0;0
'3A64.03;0;0;0
'3A64.04;0;0;0
'3A64.05;0;0;0
'3A64.06;0;0;0
'3A65;0;0;0
'3A66;0;0;0
'3A67.01;0;0;0
'3A67.02;0;0;0
'3A70.081;0;0;0
'3A70.341;0;0;0
'3A70.542;0;0;0
'3A70.56;0;0;0
'3A70.581;0;0;0
'3A70.591;0;0;0
'3A70.602;0;0;0
'3A70.681;0;0;0
'3A70.74;0;0;0
'3A70.752;0;0;0
'3A70.753;0;0;0
'3A70.754;0;0;0
'3A70.755;0;0;0
'3A70.84;0;0;0
'3A70.851;0;0;0
'3A70.89;0;0;0
'3A70.98;0;0;0
'3A71;0;0;0
'3A71.01;0;0;0
'3A72;0;0;0
'3A76;0;0;0
'3A76.01;0;0;0
'3A77;0;0;0
'3A77.01;0;0;0
'3A77.02;0;0;0
'3A78;0;0;0
'3A79;0;0;0
'3A79.01;0;0;0
'3A79.02;0;0;0
'3A79.03;0;0;0
'3A79.04;0;0;0
'3A80;0;0;0
'3A80.01;0;0;0
'3A80.02;0;0;0
'3A80.03;0;0;0
'3A88;0;0;0
'3A89;0;0;0
'3A89.01;0;0;0
'3A89.02;0;0;0
'3A89.04;0;0;0
'3A89.05;0;0;0
'3A89.06;0;0;0
'3A89.09;0;0;0
'3A90.01;0;0;0
'3A90.011;0;0;0
'3A90.03;0;0;0
'3A90.031;0;0;0
'3A90.061;0;0;0
'3A90.07;0;0;0
'3A90.071;0;0;0
'3A90.11;0;0;0
'3A90.12;0;0;0
'3A90.13;0;0;0
'3A90.19;0;0;0
'3A90.251;0;0;0
'3A90.29;0;0;0
'3A90.30;0;0;0
'3A90.32;0;0;0
'3A90.342;0;0;0
'3A90.343;0;0;0
'3A90.344;0;0;0
'3A90.345;0;0;0
'3A90.348;0;0;0
'3A90.349;0;0;0
'3A90.36;0;0;0
'3A90.37;0;0;0
'3A90.46;0;0;0
'3A90.55;0;0;0
'3A90.551;0;0;0
'3A90.57;0;0;0
'3A90.58;0;0;0
'3A90.59;0;0;0
'3A90.60;0;0;0
'3A90.601;0;0;0
'3A90.61;0;0;0
'3A90.611;0;0;0
'3A90.612 W;0;0;0
'3A90.613 W;0;0;0
'3A90.63;0;0;0
'3A90.64;0;0;0
'3A90.65;0;0;0
'3A90.67;0;0;0
'3A90.68;0;0;0
'3A90.701;0;0;0
'3A90.7011;0;0;0
'3A90.7012;0;0;0
'3A90.702;0;0;0
'3A90.704;0;0;0
'3A90.7041;0;0;0
'3A90.7042;0;0;0
'3A90.707;0;0;0
'3A90.7092;0;0;0
'3A90.71;0;0;0
'3A90.711;0;0;0
'3A90.712;0;0;0
'3A90.713;0;0;0
'3A90.714;0;0;0
'3A90.715;0;0;0
'3A90.716;0;0;0
'3A90.717;0;0;0
'3A90.718;0;0;0
'3A90.73;0;0;0
'3A90.74;0;0;0
'3A90.75;0;0;0
'3A90.761;0;0;0
'3A90.79;0;0;0
'3A90.791;0;0;0
'3A90.792;0;0;0
'3A90.793;0;0;0
'3A90.794;0;0;0
'3A90.795;0;0;0
'3A90.81;0;0;0
'3A90.811;0;0;0
'3A90.812;0;0;0
'3A90.813;0;0;0
'3A90.814;0;0;0
'3A90.815;0;0;0
'3A90.816;0;0;0
'3A90.817;0;0;0
'3A90.818;0;0;0
'3A90.83;0;0;0
'3A90.831;0;0;0
'3A90.84;0;0;0
'3A90.841;0;0;0
'3A90.85;0;0;0
'3A90.87;0;0;0
'3A90.871;0;0;0
'3A90.872;0;0;0
'3A90.874;0;0;0
'3A90.875;0;0;0
'3A90.876;0;0;0
'3A90.90;0;0;0
'3A90.91;0;0;0
'3A90.94;0;0;0
'3A90.95;0;0;0
'3A90.96;0;0;0
'3A90.97;0;0;0
'3A90.98;0;0;0
'3A90.99;0;0;0
'3A91;0;0;0
'3A92;0;0;0
'3A93;0,1;36,32;205,19
'3A93.01;0,1;32,05;187,56
'3A94;0;0;0
'3A94.01;0;0;0
'3A94.011;0;0;0
'3A94.02;0;0;0
'3A94.03;0;0;0
'3A95.03;0;0;0
'3A95.04;0;0;0
'3A96;0;0;0
'3A96.01;0;0;0
'3A96.02;0;0;0
'3A96.03;0;0;0
'3A96.05;0;0;0
'3A96.05-S;0;0;0
'3A96.06;0;0;0
'3A96.07;0;0;0
'3A96.07-S;0;0;0
'3A96.08;102,85;141,42;168,39
'3A98;0;0;0
'3A99;0;0;0
'3A99.01;0;0;0
'3A99.03;0;0;0
'3B01;0;0;0
'3B03;0;0;0
'3B03.01;0;0;0
'3B03.011;0;0;0
'3B03.03;0;0;0
'3B03.031;0,68;0;0,01
'3B03.032;0;0;0
'3B03.033;0;0;0
'3B03.05;0;0;0
'3B03.06;0;0;0
'3B03.061;0;0;0
'3B03.07;0;0;0
'3B03.08;0;0;0
'3B03.081;0;0;0
'3B03.082;0;0;0
'3B03.083;0,01;5,89;26,41
'3B03.085;0;0;0
'3B03.09;18,92;39,63;40,1
'3B03.10;0,68;0,7;0,7
'3B03.11;0;0,01;0,12
'3B03.14;0,68;1,38;1,3
'3B04;434,37;560,06;483,37
'3B04.01;563,66;598,22;691,7
'3B04.01-S;0;0;0
'3B04.04;0;0;0
'3B04.05;0;0;0
'3B04.06;0;0;0
'3B04.07;0;0;0
'3B04.07-S;0;0;0
